tick,agent_id,action,x,y,other_agent_id,culture
30,0,build,0,0,,0
30,1,build,4,0,,0
30,2,move,5,0,,0
30,3,move,6,-1,,0
30,4,move,4,-3,,0
30,5,move,14,9,,1
30,6,move,10,0,,1
30,7,move,12,4,,1
30,8,move,2,9,,1
30,9,move,6,-5,,1
31,0,build,0,0,,0
31,1,move,4,0,,0
31,2,communicate,6,0,,0
31,3,move,5,0,,0
31,4,move,5,-3,,0
31,5,move,13,8,,1
31,6,move,9,-1,,1
31,7,move,13,5,,1
31,8,move,2,10,,1
31,9,move,6,-6,,1
32,0,build,0,0,,0
32,1,build,6,0,,0
32,2,build,6,0,,0
32,3,move,6,0,,0
32,4,move,4,-4,,0
32,5,move,14,8,,1
32,6,move,10,-1,,1
32,7,move,14,5,,1
32,8,move,2,11,,1
32,9,move,7,-6,,1
33,0,build,0,0,,0
33,1,build,6,0,,0
33,2,build,6,0,,0
33,3,move,5,1,,0
33,4,move,4,-5,,0
33,5,move,14,9,,1
33,6,move,9,0,,1
33,7,move,13,6,,1
33,8,move,3,11,,1
33,9,move,8,-7,,1
34,0,build,0,0,,0
34,1,build,6,0,,0
34,2,build,6,0,,0
34,3,move,4,2,,0
34,4,move,4,-4,,0
34,5,move,13,8,,1
34,6,move,8,0,,1
34,7,move,14,5,,1
34,8,move,4,12,,1
34,9,move,9,-8,,1
35,0,build,0,0,,0
35,1,build,6,0,,0
35,2,move,6,0,,0
35,3,move,3,3,,0
35,4,move,5,-4,,0
35,5,move,14,9,,1
35,6,move,7,1,,1
35,7,move,13,4,,1
35,8,move,5,12,,1
35,9,move,9,-7,,1
36,0,build,0,0,,0
36,1,move,6,0,,0
36,2,build,6,0,,0
36,3,move,3,2,,0
36,4,move,4,-3,,0
36,5,move,15,9,,1
36,6,move,6,1,,1
36,7,move,13,5,,1
36,8,move,4,12,,1
36,9,move,9,-6,,1
37,0,build,0,0,,0
37,1,build,6,0,,0
37,2,communicate,6,0,,0
37,3,move,2,3,,0
37,4,move,5,-2,,0
37,5,move,14,8,,1
37,6,move,5,0,,1
37,7,move,14,5,,1
37,8,move,5,11,,1
37,9,move,10,-6,,1
38,0,build,0,0,,0
38,1,move,6,0,,0
38,2,build,6,0,,0
38,3,move,2,2,,0
38,4,move,5,-1,,0
38,5,move,14,7,,1
38,6,move,4,0,,1
38,7,move,14,6,,1
38,8,move,6,11,,1
38,9,move,10,-5,,1
39,0,build,0,0,,0
39,1,build,6,0,,0
39,2,communicate,6,0,,0
39,3,move,3,2,,0
39,4,move,5,0,,0
39,5,move,15,6,,1
39,6,move,3,-1,,1
39,7,move,13,7,,1
39,8,move,6,12,,1
39,9,move,9,-6,,1
