tick,agent_id,action,x,y,other_agent_id,culture
0,0,build,0,0,,0
0,1,build,0,0,,0
0,2,build,0,0,,0
0,3,move,-1,0,,0
0,4,move,1,0,,0
0,5,move,6,6,,1
0,6,move,6,6,,1
0,7,move,5,6,,1
0,8,move,4,6,,1
0,9,move,6,6,,1
1,0,build,0,0,,0
1,1,build,0,0,,0
1,2,build,0,0,,0
1,3,move,-1,1,,0
1,4,move,1,1,,0
1,5,move,7,6,,1
1,6,move,7,6,,1
1,7,move,4,7,,1
1,8,move,3,5,,1
1,9,move,6,5,,1
2,0,build,0,0,,0
2,1,move,-1,1,,0
2,2,build,0,0,,0
2,3,move,0,0,,0
2,4,move,2,0,,0
2,5,move,8,7,,1
2,6,move,8,6,,1
2,7,move,5,7,,1
2,8,move,3,6,,1
2,9,move,7,4,,1
3,0,build,0,0,,0
3,1,build,-1,1,,0
3,2,build,0,0,,0
3,3,move,-1,-1,,0
3,4,move,1,0,,0
3,5,move,9,7,,1
3,6,move,9,5,,1
3,7,move,4,6,,1
3,8,move,3,5,,1
3,9,move,8,5,,1
4,0,build,0,0,,0
4,1,build,-1,1,,0
4,2,build,0,0,,0
4,3,move,0,0,,0
4,4,move,0,-1,,0
4,5,move,10,7,,1
4,6,move,10,5,,1
4,7,move,3,6,,1
4,8,move,3,6,,1
4,9,move,9,5,,1
5,0,build,0,0,,0
5,1,build,-1,1,,0
5,2,build,0,0,,0
5,3,move,1,1,,0
5,4,move,0,0,,0
5,5,move,10,8,,1
5,6,move,10,4,,1
5,7,move,4,6,,1
5,8,move,3,7,,1
5,9,move,8,4,,1
6,0,build,0,0,,0
6,1,build,-1,1,,0
6,2,move,0,0,,0
6,3,move,0,2,,0
6,4,move,1,0,,0
6,5,move,9,9,,1
6,6,move,11,5,,1
6,7,move,5,6,,1
6,8,move,4,8,,1
6,9,move,7,5,,1
7,0,build,0,0,,0
7,1,build,-1,1,,0
7,2,build,0,0,,0
7,3,move,0,3,,0
7,4,move,0,1,,0
7,5,move,8,10,,1
7,6,move,12,4,,1
7,7,move,5,7,,1
7,8,move,3,7,,1
7,9,move,6,6,,1
8,0,build,0,0,,0
8,1,build,-1,1,,0
8,2,build,0,0,,0
8,3,move,-1,2,,0
8,4,move,0,0,,0
8,5,move,8,11,,1
8,6,move,13,4,,1
8,7,move,4,7,,1
8,8,move,4,7,,1
8,9,move,6,7,,1
9,0,build,0,0,,0
9,1,build,-1,1,,0
9,2,build,0,0,,0
9,3,move,-2,3,,0
9,4,move,0,-1,,0
9,5,move,9,11,,1
9,6,move,14,4,,1
9,7,move,4,8,,1
9,8,move,3,8,,1
9,9,move,7,6,,1
10,0,build,0,0,,0
10,1,build,-1,1,,0
10,2,build,0,0,,0
10,3,move,-2,2,,0
10,4,move,0,0,,0
10,5,move,9,10,,1
10,6,move,15,4,,1
10,7,move,4,9,,1
10,8,move,4,7,,1
10,9,move,7,5,,1
11,0,build,0,0,,0
11,1,build,-1,1,,0
11,2,build,0,0,,0
11,3,move,-1,2,,0
11,4,move,-1,0,,0
11,5,move,10,10,,1
11,6,move,16,5,,1
11,7,move,3,9,,1
11,8,move,4,6,,1
11,9,move,8,4,,1
12,0,build,0,0,,0
12,1,communicate,-1,1,3,0
12,2,build,0,0,,0
12,3,move,0,3,,0
12,4,move,-1,-1,,0
12,5,move,11,11,,1
12,6,move,15,5,,1
12,7,move,3,10,,1
12,8,move,4,7,,1
12,9,move,7,5,,1
13,0,build,0,0,,0
13,1,build,-1,1,,0
13,2,build,0,0,,0
13,3,move,-1,2,,0
13,4,move,-2,-2,,0
13,5,move,11,10,,1
13,6,move,14,4,,1
13,7,move,4,9,,1
13,8,move,5,7,,1
13,9,move,8,5,,1
14,0,build,0,0,,0
14,1,build,-1,1,,0
14,2,build,0,0,,0
14,3,move,-1,1,,0
14,4,move,-3,-3,,0
14,5,move,10,11,,1
